Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-09-06,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/27robF,3,,,2021-09-05
2021-09-14,Eraserhead,1977,https://boxd.it/28BB4r,3.5,,,2021-09-13
2021-09-26,Parasite,2019,https://boxd.it/2a8WEb,5,Yes,,2021-09-25
2021-09-30,Polytechnique,2009,https://boxd.it/2aFQGL,3,,,2021-09-29
2021-10-01,Incendies,2010,https://boxd.it/2aOuy9,4.5,,,2021-09-30
2021-10-02,Elephant,2003,https://boxd.it/2aX41r,3.5,,,2021-10-01
2021-10-03,Titane,2021,https://boxd.it/2b4Ycz,3.5,,,2021-10-02
2021-10-03,Casino Royale,2006,https://boxd.it/2b7PCJ,3.5,Yes,,2021-10-02
2021-10-14,Hereditary,2018,https://boxd.it/2cOubn,4,,,2021-10-13
2021-10-17,Election,1999,https://boxd.it/2dhO03,4,,,2021-10-16
2021-10-20,Transit,2018,https://boxd.it/2dKEen,3.5,,,2021-10-19
2021-10-21,Blackfish,2013,https://boxd.it/2dSKBD,4,,,2021-10-20
2021-10-23,Rosemary's Baby,1968,https://boxd.it/2eb2JL,4.5,,,2021-10-22
2021-10-24,Over the Garden Wall,2014,https://boxd.it/2emrl7,4,,,2021-10-23
2021-10-25,Dune,2021,https://boxd.it/2euT1Z,3.5,,,2021-10-24
2021-10-25,Baby Driver,2017,https://boxd.it/2ey35X,3.5,Yes,,2021-10-24
2021-10-30,Last Night in Soho,2021,https://boxd.it/2fiPJj,3,,,2021-10-29
2021-11-01,Magnolia,1999,https://boxd.it/2fysL9,4,,,2021-10-30
2021-11-01,The Host,2006,https://boxd.it/2fGMcz,3.5,,,2021-10-31
2021-11-03,Hard Eight,1996,https://boxd.it/2g197n,3,,,2021-11-02
2021-11-07,The French Dispatch,2021,https://boxd.it/2gwsa3,4,,,2021-11-05
2021-11-08,Inherent Vice,2014,https://boxd.it/2gOgfL,2.5,,,2021-11-07
2021-11-09,Some Kind of Heaven,2020,https://boxd.it/2gXbbR,3.5,,,2021-11-08
2021-11-10,The Master,2012,https://boxd.it/2h5Voj,4.5,Yes,,2021-11-09
2021-11-11,There Will Be Blood,2007,https://boxd.it/2heqkt,5,Yes,,2021-11-10
2021-11-15,Spencer,2021,https://boxd.it/2hTr57,3.5,,,2021-11-14
2021-11-16,We Need to Talk About Kevin,2011,https://boxd.it/2i4StR,4,,,2021-11-15
2021-11-17,La Haine,1995,https://boxd.it/2idZ8z,4,,,2021-11-16
2021-11-21,Swiss Army Man,2016,https://boxd.it/2iNW8j,3.5,,,2021-11-20
2021-11-24,Paths of Glory,1957,https://boxd.it/2jaLVb,4,,,2021-11-22
2021-11-29,Irreversible,2002,https://boxd.it/2k2ccD,2.5,,,2021-11-28
2021-12-06,C'mon C'mon,2021,https://boxd.it/2l0ekJ,3.5,,,2021-12-04
2021-12-19,West Side Story,2021,https://boxd.it/2n6tpJ,3.5,,,2021-12-18
2021-12-21,Whiplash,2014,https://boxd.it/2nxqI3,5,Yes,,2021-12-20
2021-12-24,The Matrix Reloaded,2003,https://boxd.it/2o2lTn,2.5,,,2021-12-23
2021-12-27,The Matrix Revolutions,2003,https://boxd.it/2oLBw5,2,,,2021-12-26
2021-12-27,Uncut Gems,2019,https://boxd.it/2oSI3j,4,,,2021-12-26
2021-12-28,The Power of the Dog,2021,https://boxd.it/2p8mK3,4.5,,,2021-12-27
2021-12-31,Hustlers,2019,https://boxd.it/2pKUwF,3,,,2021-12-29
2021-12-31,Dazed and Confused,1993,https://boxd.it/2pWLfJ,3.5,,,2021-12-30
2022-01-04,The Matrix Resurrections,2021,https://boxd.it/2r9aax,2.5,,,2022-01-03
2022-01-07,Licorice Pizza,2021,https://boxd.it/2rL5Lp,3.5,,,2022-01-05
2022-01-08,Taxi Driver,1976,https://boxd.it/2rX9RP,5,Yes,,2022-01-06
2022-01-12,The Raid,2011,https://boxd.it/2t5xN3,4,,,2022-01-10
2022-01-12,The Act of Killing,2012,https://boxd.it/2teh9f,4.5,,,2022-01-11
2022-01-13,The Godfather,1972,https://boxd.it/2tugc5,4,,,2022-01-12
2022-01-14,Gone Girl,2014,https://boxd.it/2tHGU9,4,,,2022-01-13
2022-01-16,Taste of Cherry,1997,https://boxd.it/2uenhD,5,,,2022-01-15
2022-01-22,Mother,2009,https://boxd.it/2voX2X,4.5,,,2022-01-20
2022-02-04,Moon,2009,https://boxd.it/2y4D63,4,,,2022-02-02
2022-02-11,Don't Look Up,2021,https://boxd.it/2zmO7r,2,,,2022-02-10
2022-02-18,CODA,2021,https://boxd.it/2AEsFr,2.5,,,2022-02-17
2022-02-23,Boys State,2020,https://boxd.it/2BEvYF,3,,,2022-02-22
2022-02-25,Memories of Murder,2003,https://boxd.it/2BX5gb,4.5,,,2022-02-24
2022-03-01,North by Northwest,1959,https://boxd.it/2CEZ63,3.5,,,2022-02-28
2022-03-02,The Worst Person in the World,2021,https://boxd.it/2CLZZh,4.5,,,2022-03-01
2022-03-05,Drive My Car,2021,https://boxd.it/2DlPnJ,3.5,,,2022-03-04
2022-03-06,The Batman,2022,https://boxd.it/2DsEqB,3.5,,,2022-03-05
2022-03-07,Nightmare Alley,2021,https://boxd.it/2DFhw3,3,,,2022-03-06
2022-03-09,The King of Comedy,1982,https://boxd.it/2E9PhV,4,,,2022-03-08
2022-03-11,King Richard,2021,https://boxd.it/2Escu5,2.5,,,2022-03-10
2022-03-14,Fantastic Planet,1973,https://boxd.it/2F6crZ,4,,,2022-03-12
2022-03-17,Y Tu Mamá También,2001,https://boxd.it/2FyYAL,4,,,2022-03-15
2022-03-17,Belfast,2021,https://boxd.it/2FCOeN,3,,,2022-03-16
2022-03-27,The Truman Show,1998,https://boxd.it/2Hyesz,4.5,Yes,,2022-03-26
2022-03-30,The Virgin Suicides,1999,https://boxd.it/2HYDYH,3,,,2022-03-28
2022-03-30,The Handmaiden,2016,https://boxd.it/2I4olR,4.5,,,2022-03-29
2022-04-01,Mad Max: Fury Road,2015,https://boxd.it/2ImIoR,4,,,2022-03-30
2022-04-02,First Reformed,2017,https://boxd.it/2IscEP,4.5,,,2022-03-31
2022-04-03,My Neighbor Totoro,1988,https://boxd.it/2IIEMz,4.5,,,2022-04-01
