Date,Name,Year,Letterboxd URI
2020-12-25,The Departed,2006,https://boxd.it/28MA
2020-12-26,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa
2020-12-26,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2
2020-12-31,Run Lola Run,1998,https://boxd.it/2b8o
2021-01-02,Thunder Road,2018,https://boxd.it/i8Hs
2021-01-06,It Comes at Night,2017,https://boxd.it/eLuk
2021-01-08,A Man Escaped,1956,https://boxd.it/1MzY
2021-01-09,Before Sunrise,1995,https://boxd.it/2bcU
2021-01-11,Children of Men,2006,https://boxd.it/1Y2i
2021-01-14,The Shining,1980,https://boxd.it/29Nu
2021-01-15,Before Sunset,2004,https://boxd.it/2bcg
2021-01-17,Making The Shining,1980,https://boxd.it/1G9A
2021-01-20,Charlotte's Web,2006,https://boxd.it/1Xn0
2021-01-24,The Social Network,2010,https://boxd.it/17ue
2021-01-25,Highlander,1986,https://boxd.it/20GE
2021-01-28,The Hunt,2012,https://boxd.it/3wEC
2021-01-30,Lethal Weapon 2,1989,https://boxd.it/29dQ
2021-01-30,Lethal Weapon,1987,https://boxd.it/29e0
2021-02-03,Seven Up!,1964,https://boxd.it/AnE
2021-02-08,Primer,2004,https://boxd.it/6YA
2021-02-11,The Climb,2019,https://boxd.it/lXDM
2021-02-12,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK
2021-02-12,Black Mirror: White Christmas,2014,https://boxd.it/B3qu
2021-02-13,13th,2016,https://boxd.it/elNg
2021-02-14,Arrival,2016,https://boxd.it/aNGk
2021-02-17,To the Bone,2017,https://boxd.it/e5AK
2021-02-17,The Princess Diaries,2001,https://boxd.it/1XCO
2021-02-22,There Will Be Blood,2007,https://boxd.it/20Z2
2021-02-22,This Is Spinal Tap,1984,https://boxd.it/1UOs
2021-02-22,Stripes,1981,https://boxd.it/gY6
2021-02-23,A Fistful of Dollars,1964,https://boxd.it/2auo
2021-02-24,News of the World,2020,https://boxd.it/lm7a
2021-02-26,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY
2021-02-26,Promising Young Woman,2020,https://boxd.it/loRE
2021-02-27,Tickled,2016,https://boxd.it/cWEG
2021-02-28,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2021-03-01,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2021-03-01,Point Break,1991,https://boxd.it/2958
2021-03-02,One Night in Miami...,2020,https://boxd.it/oCUo
2021-03-04,Nomadland,2020,https://boxd.it/lnRy
2021-03-06,Minari,2020,https://boxd.it/mL9M
2021-03-07,The Hate U Give,2018,https://boxd.it/gQyg
2021-03-07,The Evil Dead,1981,https://boxd.it/29Go
2021-03-11,Sound of Metal,2019,https://boxd.it/i7Q4
2021-03-12,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE
2021-03-15,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm
2021-03-15,Judas and the Black Messiah,2021,https://boxd.it/lsew
2021-03-16,Rashomon,1950,https://boxd.it/2a9K
2021-03-19,Citizen Kane,1941,https://boxd.it/71O
2021-03-21,Sorcerer,1977,https://boxd.it/14J6
2021-03-24,Mad Max 2,1981,https://boxd.it/1ZPg
2021-03-27,Mank,2020,https://boxd.it/mIuC
2021-03-29,The Father,2020,https://boxd.it/m8Ie
2021-03-30,Silence,2016,https://boxd.it/2cAo
2021-03-31,After Hours,1985,https://boxd.it/1VfS
2021-04-02,A League of Their Own,1992,https://boxd.it/1UdG
2021-04-03,Shame,2011,https://boxd.it/2CxU
2021-04-04,Pleasantville,1998,https://boxd.it/26uY
2021-04-05,Enter the Void,2009,https://boxd.it/1dy2
2021-04-06,The Seventh Seal,1957,https://boxd.it/2ahO
2021-04-07,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo
2021-04-08,The Elephant Man,1980,https://boxd.it/27LQ
2021-04-09,Chinatown,1974,https://boxd.it/29vU
2021-04-10,Shiva Baby,2020,https://boxd.it/oIv0
2021-04-14,Dredd,2012,https://boxd.it/GZE
2021-04-22,Close-Up,1990,https://boxd.it/1m9q
2021-04-30,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2021-04-30,Funny Games,1997,https://boxd.it/1WKM
2021-05-01,Spirited Away,2001,https://boxd.it/2b4m
2021-05-02,Mamma Mia!,2008,https://boxd.it/1Tnq
2021-05-07,Night of the Living Dead,1968,https://boxd.it/1WwA
2021-05-08,Ella Enchanted,2004,https://boxd.it/1O5G
2021-05-12,Halloween,1978,https://boxd.it/2wRu
2021-05-13,American Psycho,2000,https://boxd.it/28Vs
2021-05-14,Easy Rider,1969,https://boxd.it/29Ys
2021-05-15,Phantom Thread,2017,https://boxd.it/e4uc
2021-05-21,The World's End,2013,https://boxd.it/3EiO
2021-05-30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-06-01,Perfect Blue,1997,https://boxd.it/1W7A
2021-06-03,No Country for Old Men,2007,https://boxd.it/21ew
2021-06-05,Mikey and Nicky,1976,https://boxd.it/iL4
2021-06-07,Unbreakable,2000,https://boxd.it/1XV2
2021-06-09,The Favourite,2018,https://boxd.it/d2hI
2021-06-13,When Harry Met Sally...,1989,https://boxd.it/29W2
2021-06-14,Clerks,1994,https://boxd.it/2706
2021-06-14,Edward Scissorhands,1990,https://boxd.it/2aZc
2021-06-15,Le Samouraï,1967,https://boxd.it/22ZI
2021-06-16,Pi,1998,https://boxd.it/2ajq
2021-06-19,Black Swan,2010,https://boxd.it/Sw0
2021-06-19,RoboCop,1987,https://boxd.it/22Wu
